_id,INTERSECTION_ID,LINEAR_NAME_FULL_1,LINEAR_NAME_FULL_2,ID,X,Y,LONGITUDE,LATITUDE,OBJECTID,geometry
550,14038170.0,Midland Ave,McNicoll Ave,17,321515.54600000003,4852755.714,-79.292218,43.814578000000004,17,"{u'type': u'Point', u'coordinates': (-79.2922180081, 43.8145780077)}"
551,13441903.0,Steeles Ave E,Birchmount Rd,18,319526.255,4853508.039,-79.316925,43.821391999999996,18,"{u'type': u'Point', u'coordinates': (-79.3169249962, 43.821392004)}"
552,13446799.0,Warden Ave,Arkona Dr,19,320469.463,4848143.835,-79.305356,43.773089,19,"{u'type': u'Point', u'coordinates': (-79.30535601, 43.7730890055)}"
553,13441677.0,Steeles Ave E,Brimley Rd,20,321915.153,4854280.554,-79.28720200000001,43.828294,20,"{u'type': u'Point', u'coordinates': (-79.2872019972, 43.8282939976)}"
554,13465757.0,College St,Bathurst St,21,312243.092,4835174.928,-79.40772199999999,43.656481,21,"{u'type': u'Point', u'coordinates': (-79.4077219983, 43.6564810048)}"
555,13447211.0,Morningside Ave,Lawrence Ave E,22,330061.863,4847653.228,-79.186225,43.768408,22,"{u'type': u'Point', u'coordinates': (-79.1862250064, 43.7684080038)}"
556,13461025.0,Dixon Rd,Carlingview Dr,23,297095.57399999996,4838538.732,-79.595566,43.686757,23,"{u'type': u'Point', u'coordinates': (-79.5955659977, 43.6867570036)}"
557,13457150.0,Dufferin St,Glencairn Ave,24,308573.308,4840782.26,-79.45318,43.706982,24,"{u'type': u'Point', u'coordinates': (-79.4531800072, 43.706982004)}"
558,13456854.0,Overlea Blvd,Thorncliffe Park Dr,25,317402.442,4840847.626,-79.343625,43.707473,25,"{u'type': u'Point', u'coordinates': (-79.3436250026, 43.707473006)}"
559,13447843.0,Kennedy Rd,Ellesmere Rd,26,322426.06,4847339.153,-79.28107800000001,43.765802,26,"{u'type': u'Point', u'coordinates': (-79.281078007, 43.7658020019)}"
560,13444761.0,Leslie St,Finch Ave E,27,315418.032,4850013.973,-79.36806700000001,43.790012,27,"{u'type': u'Point', u'coordinates': (-79.3680670004, 43.7900119962)}"
561,13444601.0,Birchmount Rd,Huntingwood Dr,28,320711.282,4850072.06,-79.302295,43.790440000000004,28,"{u'type': u'Point', u'coordinates': (-79.3022949978, 43.7904399965)}"
562,13443303.0,Kingston Rd,Port Union Rd,29,333267.92100000003,4851056.442,-79.14622299999999,43.798924,29,"{u'type': u'Point', u'coordinates': (-79.1462229994, 43.7989240015)}"
563,13468898.0,Bloor St W,The West Mall,30,299771.726,4832855.695,-79.562318,43.635625,30,"{u'type': u'Point', u'coordinates': (-79.5623179959, 43.635624994)}"
564,13470138.0,The Queensway,The West Mall,31,299740.804,4830265.232,-79.56267700000001,43.612307,31,"{u'type': u'Point', u'coordinates': (-79.5626769978, 43.6123069968)}"
565,13470661.0,Lake Shore Blvd W,Thirty Seventh St,32,301717.201,4828163.145,-79.53818000000001,43.593396000000006,32,"{u'type': u'Point', u'coordinates': (-79.5381799941, 43.5933960003)}"
566,13470261.0,Kipling Ave,Horner Ave,33,303124.868,4829696.289,-79.520751,43.607201,33,"{u'type': u'Point', u'coordinates': (-79.5207509976, 43.6072009968)}"
567,13470082.0,The Queensway,North Queen St,34,300267.475,4830477.045,-79.556154,43.614217,34,"{u'type': u'Point', u'coordinates': (-79.5561539918, 43.6142170047)}"
568,13453096.0,Wilson Ave,Transit Rd,35,308597.189,4843715.311000001,-79.452863,43.733383,35,"{u'type': u'Point', u'coordinates': (-79.4528629934, 43.7333830014)}"
